,Suburb,Year,Housing_Type,Value
514,Boronia,2021,3 bedroom flats,420.0
515,Boronia,2021,3 bedroom houses,406.5
516,Boronia,2021,4 bedroom houses,480.5
517,Boronia,2021,All properties,397.5
518,Boronia,2022,1 bedroom flats,330.0
519,Boronia,2022,2 bedroom flats,380.0
520,Boronia,2022,2 bedroom houses,373.0
521,Boronia,2022,3 bedroom flats,440.0
522,Boronia,2022,3 bedroom houses,430.0
523,Boronia,2022,4 bedroom houses,525.0
524,Boronia,2022,All properties,418.0
525,Box Hill,2018,1 bedroom flats,300.0
526,Box Hill,2018,2 bedroom flats,450.0
527,Box Hill,2018,2 bedroom houses,400.0
528,Box Hill,2018,3 bedroom flats,510.0
529,Box Hill,2018,3 bedroom houses,470.0
530,Box Hill,2018,4 bedroom houses,597.5
531,Box Hill,2018,All properties,435.0
532,Box Hill,2019,1 bedroom flats,280.0
533,Box Hill,2019,2 bedroom flats,450.0
534,Box Hill,2019,2 bedroom houses,400.0
535,Box Hill,2019,3 bedroom flats,530.0
536,Box Hill,2019,3 bedroom houses,480.0
537,Box Hill,2019,4 bedroom houses,630.0
538,Box Hill,2019,All properties,450.0
539,Box Hill,2020,1 bedroom flats,300.0
540,Box Hill,2020,2 bedroom flats,455.0
541,Box Hill,2020,2 bedroom houses,411.5
542,Box Hill,2020,3 bedroom flats,531.0
543,Box Hill,2020,3 bedroom houses,480.0
544,Box Hill,2020,4 bedroom houses,600.0
545,Box Hill,2020,All properties,442.5
546,Box Hill,2021,1 bedroom flats,317.5
547,Box Hill,2021,2 bedroom flats,400.0
548,Box Hill,2021,2 bedroom houses,400.0
549,Box Hill,2021,3 bedroom flats,490.0
550,Box Hill,2021,3 bedroom houses,460.0
551,Box Hill,2021,4 bedroom houses,620.0
552,Box Hill,2021,All properties,400.0
553,Box Hill,2022,1 bedroom flats,310.0
554,Box Hill,2022,2 bedroom flats,415.0
555,Box Hill,2022,2 bedroom houses,408.0
556,Box Hill,2022,3 bedroom flats,500.0
