,housing_type,budget,school_type,results
214,All properties,600,Secondary,"['prahran', 'broadmeadows', 'cranbourne']"
215,All properties,600,Pri/Sec,"['prahran', 'broadmeadows', 'cranbourne']"
216,All properties,700,0,"['prahran', 'broadmeadows', 'cranbourne']"
217,All properties,700,Primary,"['prahran', 'broadmeadows', 'cranbourne']"
218,All properties,700,Secondary,"['prahran', 'broadmeadows', 'cranbourne']"
219,All properties,700,Pri/Sec,"['prahran', 'broadmeadows', 'cranbourne']"
220,All properties,800,0,"['prahran', 'broadmeadows', 'cranbourne']"
221,All properties,800,Primary,"['prahran', 'broadmeadows', 'cranbourne']"
222,All properties,800,Secondary,"['prahran', 'broadmeadows', 'cranbourne']"
223,All properties,800,Pri/Sec,"['prahran', 'broadmeadows', 'cranbourne']"
